depth,step_size,truncation,reward
3,0.985844,13,19.130000
7,0.337216,28,163.350000
4,0.847024,28,50.680000
3,0.049430,13,93.250000
0,0.198105,5,19.510000
1,0.377600,3,43.440000
2,0.862550,11,43.500000
5,0.468911,20,155.410000
3,0.395564,14,147.450000
6,0.009495,17,28.910000
5,0.703476,21,24.880000
2,0.596551,17,77.060000
0,0.091059,9,18.660000
7,0.274948,18,110.060000
2,0.515771,13,30.390000
2,0.856971,3,196.860000
6,0.452186,16,114.530000
5,0.464119,28,102.110000
7,0.989687,30,157.260000
1,0.428038,26,141.170000
6,0.582185,12,66.880000
7,0.123675,15,182.670000
4,0.252741,17,146.100000
1,0.149613,10,130.010000
6,0.318291,29,147.020000
5,0.107666,6,82.100000
3,0.029360,22,93.860000
4,0.690533,15,110.990000
5,0.983937,24,151.560000
7,0.621203,26,181.620000
4,0.463466,21,95.740000
6,0.685597,15,75.550000
5,0.743847,16,143.050000
7,0.907671,28,49.070000
2,0.066918,24,192.240000
2,0.931065,3,18.580000
7,0.322829,21,161.740000
7,0.601593,14,111.300000
7,0.086180,13,160.090000
2,0.886614,10,28.460000
6,0.289029,8,169.810000
1,0.779346,30,12.670000
4,0.882875,8,72.890000
4,0.180944,17,164.600000
7,0.654974,1,37.990000
4,0.001284,8,20.310000
4,0.266603,26,86.420000
6,0.497934,24,69.320000
2,0.155554,9,132.000000
5,0.078241,19,170.400000
4,0.145936,24,169.990000
5,0.398050,23,147.140000
0,0.989512,27,9.310000
5,0.486864,13,141.450000
1,0.133769,15,155.940000
3,0.355773,5,99.540000
0,0.048848,17,20.940000
3,0.232156,25,167.240000
4,0.438988,16,105.510000
5,0.804458,5,167.610000
5,0.169164,20,170.600000
6,0.641342,10,24.620000
2,0.341822,12,97.880000
6,0.937461,25,167.910000
4,0.388593,18,133.010000
3,0.833482,9,62.770000
0,0.734854,21,12.550000
1,0.937821,13,9.930000
3,0.118119,13,168.270000
2,0.971995,7,88.150000
0,0.615689,26,14.170000
6,0.088614,2,31.090000
0,0.402459,19,19.190000
2,0.910608,17,15.270000
6,0.171682,13,178.730000
5,0.425407,8,134.770000
7,0.859786,25,118.270000
7,0.768656,29,181.310000
1,0.214992,10,110.740000
6,0.602353,2,88.900000
1,0.277125,8,180.080000
2,0.516972,17,166.950000
4,0.811921,27,120.530000
3,0.645144,30,161.080000
2,0.968179,27,127.440000
3,0.367896,22,105.530000
3,0.269000,21,129.330000
7,0.014277,1,22.440000
7,0.836377,11,96.520000
2,0.186737,4,133.250000
1,0.309759,6,89.520000
2,0.222475,23,176.620000
3,0.610139,18,52.700000
3,0.616859,16,117.980000
2,0.820024,20,17.240000
3,0.675959,22,175.340000
6,0.876086,23,41.310000
3,0.092482,30,173.300000
6,0.377141,25,101.350000
0,0.440788,20,19.970000
1,0.955657,17,9.840000
3,0.810436,12,93.920000
2,0.855022,17,28.820000
0,0.150120,9,19.450000
3,0.595628,21,41.180000
4,0.042114,1,25.720000
4,0.817706,30,132.270000
5,0.724430,14,18.260000
5,0.329914,23,142.760000
2,0.786372,8,143.600000
6,0.268852,20,182.030000
3,0.261402,3,125.810000
2,0.354134,7,110.320000
3,0.366582,11,131.610000
5,0.763198,17,38.120000
4,0.265614,15,85.480000
3,0.599581,24,42.720000
7,0.645993,17,82.020000
0,0.822445,12,11.110000
6,0.408039,2,117.670000
6,0.688162,12,27.130000
1,0.277756,10,171.670000
2,0.835515,16,58.310000
7,0.083982,3,33.510000
4,0.528950,1,51.580000
3,0.913122,11,114.320000
4,0.248376,16,187.510000
7,0.512407,11,84.810000
3,0.018150,15,33.600000
2,0.875414,20,13.260000
0,0.399709,11,17.640000
0,0.294253,8,20.160000
5,0.761053,12,186.010000
4,0.394531,9,148.930000
5,0.152831,25,173.240000
0,0.648357,30,14.250000
3,0.953464,16,184.120000
4,0.589195,3,167.180000
6,0.919267,4,47.670000
5,0.685652,2,38.020000
0,0.761412,1,10.540000
1,0.289754,29,124.310000
2,0.857906,27,142.770000
3,0.398888,13,68.790000
2,0.396948,12,30.190000
4,0.638881,21,97.400000
4,0.280147,9,106.570000
3,0.518730,19,184.430000
0,0.552074,18,15.640000
7,0.385950,22,144.880000
5,0.686121,28,88.260000
5,0.185769,10,163.220000
0,0.917627,14,10.260000
0,0.423262,1,15.610000
6,0.902874,19,167.150000
6,0.836217,8,82.530000
5,0.498953,11,148.580000
3,0.808544,23,46.490000
0,0.917411,21,10.050000
7,0.533066,13,90.180000
0,0.750297,4,11.800000
1,0.306788,13,33.860000
3,0.951258,17,98.750000
5,0.224587,24,160.860000
2,0.722314,17,38.070000
7,0.935453,3,73.830000
2,0.005911,27,27.700000
0,0.796455,8,11.690000
3,0.440787,23,60.830000
6,0.562384,19,83.720000
4,0.682714,16,111.240000
6,0.919854,17,26.570000
2,0.042580,3,26.030000
5,0.557170,11,26.170000
7,0.182737,20,166.380000
5,0.081215,30,183.520000
1,0.986732,30,41.740000
1,0.747889,2,38.770000
5,0.868482,12,53.150000
4,0.378535,28,115.330000
3,0.502625,10,112.070000
3,0.954864,10,115.950000
3,0.410736,13,112.330000
7,0.840547,18,119.910000
1,0.924799,3,30.610000
1,0.451906,8,148.550000
4,0.184647,11,143.360000
5,0.825421,18,154.770000
7,0.521943,19,157.800000
4,0.771280,27,61.220000
5,0.068633,13,126.320000
3,0.553925,22,96.150000
3,0.453493,19,136.890000
5,0.935128,13,14.740000
3,0.055686,22,167.220000
3,0.817120,29,61.910000
2,0.063427,9,85.700000
5,0.582986,8,125.780000
5,0.481650,20,94.460000
